id,mi_contractor_group_id,mi_contractor_id,display_order,is_active,created_at,created_by,updated_at,updated_by
1,1,1,1,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
2,1,2,2,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
3,1,3,3,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
4,1,4,4,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
5,1,5,5,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
6,1,6,6,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
7,1,7,7,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
8,1,8,8,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
9,1,9,9,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
10,1,10,10,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
11,1,11,11,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
12,1,12,12,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
13,1,13,13,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
14,1,14,14,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
15,1,15,15,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
16,1,16,16,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
17,1,17,17,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
18,1,18,18,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
19,1,19,19,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
20,1,20,20,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
21,1,21,21,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
22,1,22,22,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
23,1,23,23,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
24,1,24,24,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
25,1,25,25,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
26,1,26,26,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
