id,station_code,station_name,latitude,longitude,srid,geom_wkt,geom,tier_use,data_source,notes,created_at,created_by,updated_at,updated_by,source_id
3,JP,Jersey Point,38.056,-121.745,4326,POINT(-121.745 38.056),POINT(-121.745 38.056),FW_DELTA_USES,DWR_CDEC,Western Delta salinity compliance station,2025-10-17 01:01:57.866228+00:00,2,2026-03-13 23:37:10.005924+00:00,1,11
4,EM,Emmaton,38.053,-121.694,4326,POINT(-121.694 38.053),POINT(-121.694 38.053),FW_DELTA_USES,DWR_CDEC,Western Delta salinity compliance station,2025-10-17 01:01:57.866228+00:00,2,2026-03-13 23:37:10.005924+00:00,1,11
