,,,,,,
Historical Hydro Reference Version,Web Platform ID,Modeling Identifier,Study Name (with link to Google Drive),Short Description,Run/ Update Date,Notes
s0011,1.2,s0048,s0048_adjBL_cc50_wTUCP,DWR 2023 Baseline,2/13/2026,
s0020,1.1,s0047,s0047_DCRcc50_2020LU_wTUCP,DWR 2023 Baseline with TUCPs & 2020 land use,11/21/2025,
s0021,1.3,s0049,s0049_DCRadjBL_cc50_2020LU_woTUCP,DWR 2023 Baseline without TUCPs & 2020 land use,2/17/2026,
s0023,1.5,s0051,s0051_USBR24Alt2V1_DCRcc50_2020LU_woTUCP,USBR 2024 Alt2V1 with 2020 land use,11/21/2025,
s0024,1.4,s0050,s0050_USBR24Alt2V1_cc50_adjHist_2020LU_wTUCP,USBR 2024 Alt2V1 with 2020 land use & TUCPs,11/21/2025,
s0025,2.1,s0067,s0067_SJVgwLimit_cc50__20LU_wTUCP,Limiting groundwater pumping in the San Joaquin,2/17/2026,
s0026,2.2,s0068,s0068_SJVgwLimit_cc50_SGMALU_wTUCP,Reducing irrigated acreage in the San Joaquin,2/14/2026,
s0027,2.3,s0062,s0062_CVgwLimit_cc50_2020LU_wTUCP,Limiting groundwater pumping in the Central Valley,11/24/2025,
s0028,2.4,s0069,s0069_CVgwLimit_cc50_SGMALU_wTUCP,Reducing irrigated acreage in the Central Valley,2/18/2026,
s0030,3.1,s0071,s0071_DCRadjHist_cc50_2020LU_NoFlowReqt,Remove minimum flow requirements throughout CV,2/12/2026,
s0031,3.4,s0072,s0072_DCRadjHist_cc50_2020LU_salmonflows,Salmon-friendly flows on the Sac & SJR with Shasta storage protections,2/17/2026,
s0032,3.3,s0073,s0073_DCRadjHist_cc50_CVgwLU_eflows,Functional flows for all sites with reduced irrigated acreage for CV,2/18/2026,
s0033,3.5,s0074,s0074_DCRadjHist_cc50_CVgwLU_salmonflows,Salmon-friendly flows on the Sac & SJR with Shasta storage protections and reduced irrigated acreage for CV,2/17/2026,
s0035,4.1,s0075,s0075_DCRadjBL_cc50_2020LU_PriorityHHS,Prioritizing health and human safety surface delivery levels to community water systems,2/24/2026,
s0036,4.2,s0076,s0076_DCRadjBL_cc50_2020LU_PriorityFuncCWN,Prioritizing functional delivery levels to community water systems,2/24/2026,
s0037,4.3,s0077,s0077_DCRadjBL_cc50_2020LU_PriorityFullCWN,Prioritizing full contract or demand levels to community water systems,2/24/2026,
s0039,5.4,s0078,s0078_USBRAlt3_cc50_2020LU_DeltaOut65,USBR Alt3 with 2020 land use - 65% unimpaired Delta outflow with upstream actions to protect storage,2/18/2026,
s0040,5.1,s0079,s0079_USBRAlt3_cc50_2020LU_DeltaOut35,USBR Alt3 with 2020 land use - 35% unimpaired Delta outflow with upstream actions to protect storage,2/18/2026,
s0041,5.2,s0080,s0080_USBRAlt3_cc50_2020LU_DeltaOut45,USBR Alt3 with 2020 land use - 45% unimpaired Delta outflow with upstream actions to protect storage,2/18/2026,
s0042,5.3,s0081,s0081_USBRAlt3_cc50_2020LU_DeltaOut55,USBR Alt3 with 2020 land use - 55% unimpaired Delta outflow with upstream actions to protect storage,2/18/2026,
s0044,6.1,s0082,s0082_DCRadjHist_cc50_2020LU_ShastaCarryover20,Target an increase in Shasta carryover of 20% compared to s0020 baseline,2/13/2026,
s0045,6.4,s0083,s0083_DCRadjBL_cc50_2020LU_RelaxFallX2,Remove the fall X2 requirement in the Delta,2/13/2026,
s0046,3.2,s0084,s0084_DCRadjHist_2020LU_EflowsV2,"Variation of functional flows that removes the downstream Sac, SJR, and Delta flow requirements",2/13/2026,
s0065,7.4,s0085,s0085_DWRadapt25_cc50_2020LU_DCP,An updated version of the Delta Conveyance Project with 2020 land use,2/19/2026,
