Index,Status,Include in Data Platform?,Platform Identifier,StudyName,HydroClimate,Land Use        (Ag Demands),GoogleDriveFolderName,ModelFilesLink,Scenario Description,ShortDescription,DV_Path,BaseScen,Source
s0020,FINAL,Yes,1.1,s0020_DCRadjBL_2020LU_wTUCP,2023 DWR Historical Adjusted,2020 LandIQ,s0020_DCRadjBL_2020LU_wTUCP,,Description,Baseline 2023 DCR operations (same as s0011) with updated 2020 ag land use and TUCP actions,,s0011,COEQWAL
s0021,FINAL,Yes,1.3,s0021_DCRadjBL_2020LU_woTUCP,2023 DWR Historical Adjusted,2020 LandIQ,s0021_DCRadjBL_2020LU_woTUCP,,Description,Baseline 2023 DCR operations without TUCP actions and 2020 land use (same as s0020 but without TUCP actions; also same as s0002 but with updated ag land use),,s0020,COEQWAL
s0022,FINAL,No,N/A,s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP,2023 DWR Historical Adjusted,2004-2013,s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP,,Description,Baseline - USBR's 2024 LTO alternative Alt2V1 (adjusted operations for CVP) combined with DWR's adjusted historical hydrology,,USBR 2024 Alt2V1,COEQWAL
s0023,FINAL,Yes,1.5,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP,2023 DWR Historical Adjusted,2020 LandIQ,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP,,Description,Baseline - USBR's 2024 LTO alternative Alt2V1 (adjusted operations for CVP) combined with DWR's adjusted historical hydrology with updated 2020 LandIQ land use; no TUCPs,,s0022,COEQWAL
s0024,FINAL,Yes,1.4,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP,2023 DWR Historical Adjusted,2020 LandIQ,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP,,Description,Baseline -Same as s0023 but with TUCPs active (analogous to USBRs Alt2V1 with TUCPs but with DWR's adj historical hydroclimate and updated land use),,s0023,COEQWAL
s0025,FINAL,Yes,2.1,s0025_SJVgwLimit_2020LU_wTUCP_v0.2,2023 DWR Historical Adjusted,2020 LandIQ,s0025_SJVgwLimit_2020LU_wTUCP_v0.2,,Description,s0020 + groundwater pumping limits applied to SJ Valley region,,s0020,COEQWAL
s0026,FINAL,Yes,2.2,s0026_SJVgwLimit_SGMALU_wTUCP,2023 DWR Historical Adjusted,2020 LandIQ - GWmodSJ,s0026_SJVgwLimit_SGMALU_wTUCP,,,Reductions in ag land use to balance gw conditions in SJV,,s0020,COEQWAL
s0027,FINAL,Yes,2.3,s0027_CVgwLimit_2020LU_wTUCP_v0.2,2023 DWR Historical Adjusted,2020 LandIQ,s0027_CVgwLimit_2020LU_wTUCP_v0.2,,Description,s0020 + groundwater pumping limits applied across Central Valley,,s0020,COEQWAL
s0028,FINAL,Yes,2.4,s0028_CVgwLimit_SGMALU_wTUCP,2023 DWR Historical Adjusted,2020 LandIQ - GWmodCV,s0028_CVgwLimit_SGMALU_wTUCP,,,Same as s0027 but with reductions in ag land use to balance gw use across CV,,s0020,COEQWAL
s0029,FINAL,No,3.2,s0029_DCRadjHist_2020LU_eflowsV1,2023 DWR Historical Adjusted,2020 LandIQ,s0029_DCRadjHist_2020LU_eflowsV1_v0.2_20251014,,Description,Functional flows scenario - requirements on tribs and Delta; with 2020 land use,,s0020,COEQWAL
