id,short_code,label,is_active,created_at,created_by,updated_at,updated_by
1,SAC,Sacramento River Basin,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
2,SJR,San Joaquin River Basin,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
3,DELTA,Sacramento–San Joaquin Delta,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
4,TULARE,Tulare Basin,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
5,SOCAL,Southern California,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
6,NC,North Coast,True,2026-03-14 23:16:58.905157+00:00,2,2026-03-14 23:25:52.566493+00:00,1
7,EXPORT,Export region,True,2025-10-06 13:57:00.754874+00:00,2,2026-03-14 23:25:52.566493+00:00,1
