"Scenario","TierScore"
"100",3.17992788624245
"101",3.17385556989229
"102",3.28383932949933
"103",3.29301974689913
"104",3.16587562353218
"105",3.32244688198801
"56",3.32153119511778
"57",3.29569011752175
"58",3.33066890708057
"59",3.30781289679126
"60",3.30101773631973
"63",3.26821570731964
"87",3.18489087911998
"88",3.28538951069589
"89",3.23905802802598
"91",3.02162138645919
"92",3.19145378489789
"93",3.09312486208448
"94",3.15902891829603
"95",3.29660543962281
"96",3.29660543962281
"97",3.29660543962281
"98",3.15948670445955
"99",3.19632269003673
