"Scenario","TierScore"
"47",3.19926314055198
"48",3.18731323573549
"49",3.20716585200897
"50",3.19816647356948
"51",3.19139535594689
"62",3.14337132470819
"67",3.13621461310571
"68",3.15076470962777
"69",3.12877885151192
"71",2.93895445429512
"72",3.08043082595303
"73",3.01813948073396
"74",3.18894230099148
"75",3.14563471655271
"76",3.14563471655271
"77",3.1582891357583
"78",3.01158759725313
"79",3.09525136435592
"80",3.07188353207043
"81",3.02235098583623
"82",3.14424355705089
"83",3.13585437424109
"84",3.11391258818638
"85",3.25095279624268
