"Scenario","TierScore"
"107",3.66429995586085
"108",3.60273943404039
"109",3.59728968399804
"110",3.66110194961046
"111",3.66429995586085
"112",3.54890196002524
"113",3.58535581891066
"114",3.54198416611818
"115",3.58535581891066
"117",3.20960748554206
"118",3.51788360934473
"119",3.36783430504111
"120",3.50085104772651
"121",3.6096821760395
"122",3.6096821760395
"123",3.60512110761319
"124",3.4753992840276
"125",3.54407803361967
"126",3.49371682944382
"127",3.48506278064562
"128",3.52856177897826
"129",3.59200758088
"130",3.47006984462341
"131",3.66071556558615
