"Scenario","TierValue"
"100",3
"101",3
"102",3
"103",3
"104",3
"105",3
"56",3
"57",3
"58",3
"59",3
"60",3
"63",3
"87",3
"88",3
"89",3
"91",3
"92",3
"93",3
"94",3
"95",3
"96",3
"97",3
"98",3
"99",3
