scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order
s0011,AG_REV,demand_unit,62_NA4,62_NA4,1,,97
s0011,AG_REV,demand_unit,62_NA5,62_NA5,1,,98
s0011,AG_REV,demand_unit,62_NA6,62_NA6,4,,99
s0011,AG_REV,demand_unit,63_NA1,63_NA1,1,,100
s0011,AG_REV,demand_unit,63_NA2,63_NA2,1,,101
s0011,AG_REV,demand_unit,63_NA3,63_NA3,3,,102
s0011,AG_REV,demand_unit,63_NA4,63_NA4,1,,103
s0011,AG_REV,demand_unit,64_NA1,64_NA1,1,,104
s0011,AG_REV,demand_unit,64_NA2,64_NA2,2,,105
s0011,AG_REV,demand_unit,64_PA1,64_PA1,3,,106
s0011,AG_REV,demand_unit,64_PA2,64_PA2,3,,107
s0011,AG_REV,demand_unit,64_PA3,64_PA3,3,,108
s0011,AG_REV,demand_unit,64_XA,64_XA,2,,109
s0011,AG_REV,demand_unit,71_NA1,71_NA1,1,,110
s0011,AG_REV,demand_unit,71_NA2,71_NA2,2,,111
s0011,AG_REV,demand_unit,71_PA1,71_PA1,4,,112
s0011,AG_REV,demand_unit,71_PA2,71_PA2,1,,113
s0011,AG_REV,demand_unit,71_PA3,71_PA3,4,,114
s0011,AG_REV,demand_unit,71_PA4,71_PA4,1,,115
s0011,AG_REV,demand_unit,71_PA5,71_PA5,4,,116
s0011,AG_REV,demand_unit,71_PA6,71_PA6,4,,117
s0011,AG_REV,demand_unit,71_PA7,71_PA7,1,,118
s0011,AG_REV,demand_unit,71_PA8,71_PA8,3,,119
s0011,AG_REV,demand_unit,72_NA1,72_NA1,1,,120
s0011,AG_REV,demand_unit,72_NA2,72_NA2,1,,121
s0011,AG_REV,demand_unit,72_PA,72_PA,1,,122
s0011,AG_REV,demand_unit,72_XA1,72_XA1,2,,123
s0011,AG_REV,demand_unit,72_XA2,72_XA2,1,,124
s0011,AG_REV,demand_unit,72_XA3,72_XA3,2,,125
s0011,AG_REV,demand_unit,73_NA,73_NA,1,,126
s0011,AG_REV,demand_unit,73_PA1,73_PA1,2,,127
s0011,AG_REV,demand_unit,73_PA2,73_PA2,3,,128
s0011,AG_REV,demand_unit,73_PA3,73_PA3,4,,129
s0011,AG_REV,demand_unit,73_XA,73_XA,2,,130
s0011,AG_REV,demand_unit,90_PA1,90_PA1,3,,131
s0011,AG_REV,demand_unit,90_PA2,90_PA2,4,,132
s0011,DELTA_ECO,wba,DETAW,Sacramento-San Joaquin Delta (DETAW),4,1,1
s0011,ENV_FLOWS,network_node,AMR004,American River at I-80 Bridge,3,1,1
s0011,ENV_FLOWS,network_node,FTR003,Feather River,3,1,2
s0011,ENV_FLOWS,network_node,FTR029,Feather River at Yuba City,3,1,3
s0011,ENV_FLOWS,network_node,MCD005,Merced River at Stevinson,3,1,4
s0011,ENV_FLOWS,network_node,MOK028,Mokelumne River,3,1,5
s0011,ENV_FLOWS,network_node,SAC000,Sacramento at confluence,3,1,6
s0011,ENV_FLOWS,network_node,SAC049,Sacramento River at Freeport,2,1,7
s0011,ENV_FLOWS,network_node,SAC122,Sacramento River at Tisdale Weir,2,1,8
s0011,ENV_FLOWS,network_node,SAC148,Sacramento River at Colusa Weir,2,1,9
s0011,ENV_FLOWS,network_node,SAC257,Sacramento River above Bend Bridge,2,1,10
s0011,ENV_FLOWS,network_node,SAC289,Sacramento River (South Bonnieville),2,1,11
s0011,ENV_FLOWS,network_node,SJR070,San Joaquin near Vernalis,3,1,12
s0011,ENV_FLOWS,network_node,SJR127,San Joaquin at Salt Slough,3,1,13
s0011,ENV_FLOWS,network_node,STS011,Stanislaus River,3,1,14
s0011,ENV_FLOWS,network_node,TRN111,Trinity River at Lewiston,3,1,15
s0011,ENV_FLOWS,network_node,TUO003,Tuolumne River,3,1,16
s0011,ENV_FLOWS,network_node,YUB002,Yuba River at Marysville,3,1,17
s0011,FW_DELTA_USES,compliance_station,EM,Emmaton,2,1,1
s0011,FW_DELTA_USES,compliance_station,JP,Jersey Point,2,1,2
s0011,FW_EXP,network_node,CAA003,Banks Pumping Plant,1,1,1
s0011,FW_EXP,network_node,DMC000,Jones Pumping Plant,1,1,2
s0011,GW_STOR,wba,10,WBA 10,2,1,1
s0011,GW_STOR,wba,11,WBA 11,2,1,2
s0011,GW_STOR,wba,12,WBA 12,2,1,3
s0011,GW_STOR,wba,13,WBA 13,2,1,4
s0011,GW_STOR,wba,14,WBA 14,2,1,5
s0011,GW_STOR,wba,15N,WBA 15N,2,1,6
s0011,GW_STOR,wba,15S,WBA 15S,3,1,7
s0011,GW_STOR,wba,16,WBA 16,3,1,8
s0011,GW_STOR,wba,17N,WBA 17N,2,1,9
s0011,GW_STOR,wba,17S,WBA 17S,3,1,10
s0011,GW_STOR,wba,18,WBA 18,3,1,11
s0011,GW_STOR,wba,19,WBA 19,3,1,12
s0011,GW_STOR,wba,2,WBA 2,3,1,13
s0011,GW_STOR,wba,20,WBA 20,2,1,14
s0011,GW_STOR,wba,21,WBA 21,3,1,15
s0011,GW_STOR,wba,22,WBA 22,3,1,16
s0011,GW_STOR,wba,23,WBA 23,3,1,17
s0011,GW_STOR,wba,24,WBA 24,3,1,18
s0011,GW_STOR,wba,25,WBA 25,2,1,19
s0011,GW_STOR,wba,26N,WBA 26N,3,1,20
s0011,GW_STOR,wba,26S,WBA 26S,2,1,21
s0011,GW_STOR,wba,3,WBA 3,2,1,22
s0011,GW_STOR,wba,4,WBA 4,2,1,23
s0011,GW_STOR,wba,5,WBA 5,2,1,24
s0011,GW_STOR,wba,50,WBA 50,1,1,25
s0011,GW_STOR,wba,6,WBA 6,2,1,26
s0011,GW_STOR,wba,60N,WBA 60N,2,1,27
s0011,GW_STOR,wba,60S,WBA 60S,1,1,28
s0011,GW_STOR,wba,61,WBA 61,1,1,29
s0011,GW_STOR,wba,62,WBA 62,3,1,30
s0011,GW_STOR,wba,63,WBA 63,4,1,31
s0011,GW_STOR,wba,64,WBA 64,4,1,32
s0011,GW_STOR,wba,71,WBA 71,1,1,33
s0011,GW_STOR,wba,72,WBA 72,1,1,34
s0011,GW_STOR,wba,73,WBA 73,3,1,35
s0011,GW_STOR,wba,7N,WBA 7N,2,1,36
s0011,GW_STOR,wba,7S,WBA 7S,1,1,37
s0011,GW_STOR,wba,8N,WBA 8N,2,1,38
s0011,GW_STOR,wba,8S,WBA 8S,1,1,39
s0011,GW_STOR,wba,9,WBA 9,2,1,40
s0011,GW_STOR,wba,90,WBA 90,4,1,41
s0011,GW_STOR,wba,DETAW,Delta-Eastside Water,2,1,42
s0011,RES_STOR,reservoir,FOLSM,Folsom Reservoir,3,1,1
s0011,RES_STOR,reservoir,MELON,New Melones Reservoir,2,1,2
s0011,RES_STOR,reservoir,MLRTN,Millerton Reservoir,3,1,3
s0011,RES_STOR,reservoir,OROVL,Oroville Reservoir,2,1,4
s0011,RES_STOR,reservoir,SHSTA,Shasta Reservoir,2,1,5
s0011,RES_STOR,reservoir,SLUIS_CVP,San Luis Reservoir (CVP),3,1,6
s0011,RES_STOR,reservoir,SLUIS_SWP,San Luis Reservoir (SWP),3,1,7
s0011,RES_STOR,reservoir,TRNTY,Trinity Reservoir,3,1,8
s0011,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1
s0020,AG_REV,demand_unit,02_NA,02_NA,2,,1
s0020,AG_REV,demand_unit,02_PA,02_PA,4,,2
s0020,AG_REV,demand_unit,02_SA,02_SA,1,,3
s0020,AG_REV,demand_unit,03_NA,03_NA,2,,4
s0020,AG_REV,demand_unit,03_PA,03_PA,2,,5
s0020,AG_REV,demand_unit,03_SA,03_SA,1,,6
s0020,AG_REV,demand_unit,04_NA,04_NA,1,,7
s0020,AG_REV,demand_unit,04_PA1,04_PA1,4,,8
s0020,AG_REV,demand_unit,04_PA2,04_PA2,4,,9
s0020,AG_REV,demand_unit,05_NA,05_NA,2,,10
s0020,AG_REV,demand_unit,06_NA,06_NA,1,,11
s0020,AG_REV,demand_unit,06_PA,06_PA,3,,12
s0020,AG_REV,demand_unit,07N_NA,07N_NA,1,,13
s0020,AG_REV,demand_unit,07N_PA,07N_PA,3,,14
s0020,AG_REV,demand_unit,07S_NA,07S_NA,1,,15
s0020,AG_REV,demand_unit,07S_PA,07S_PA,4,,16
s0020,AG_REV,demand_unit,08N_NA,08N_NA,1,,17
s0020,AG_REV,demand_unit,08N_PA,08N_PA,2,,18
