scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order
s0011,AG_REV,demand_unit,02_NA,,2,,1
s0011,AG_REV,demand_unit,02_PA,,3,,2
s0011,AG_REV,demand_unit,02_SA,,1,,3
s0011,AG_REV,demand_unit,03_NA,,1,,4
s0011,AG_REV,demand_unit,03_PA,,1,,5
s0011,AG_REV,demand_unit,03_SA,,1,,6
s0011,AG_REV,demand_unit,04_NA,,2,,7
s0011,AG_REV,demand_unit,04_PA1,,4,,8
s0011,AG_REV,demand_unit,04_PA2,,4,,9
s0011,AG_REV,demand_unit,05_NA,,2,,10
s0011,AG_REV,demand_unit,06_NA,,1,,11
s0011,AG_REV,demand_unit,06_PA,,3,,12
s0011,AG_REV,demand_unit,07N_NA,,1,,13
s0011,AG_REV,demand_unit,07N_PA,,4,,14
s0011,AG_REV,demand_unit,07S_NA,,1,,15
s0011,AG_REV,demand_unit,07S_PA,,4,,16
s0011,AG_REV,demand_unit,08N_NA,,1,,17
s0011,AG_REV,demand_unit,08N_PA,,2,,18
s0011,AG_REV,demand_unit,08N_SA1,,1,,19
s0011,AG_REV,demand_unit,08N_SA2,,2,,20
s0011,AG_REV,demand_unit,08S_NA1,,1,,21
s0011,AG_REV,demand_unit,08S_NA2,,1,,22
s0011,AG_REV,demand_unit,08S_PA,,2,,23
s0011,AG_REV,demand_unit,08S_SA1,,1,,24
s0011,AG_REV,demand_unit,08S_SA2,,2,,25
s0011,AG_REV,demand_unit,08S_SA3,,2,,26
s0011,AG_REV,demand_unit,09_NA,,2,,27
s0011,AG_REV,demand_unit,09_SA1,,3,,28
s0011,AG_REV,demand_unit,09_SA2,,1,,29
s0011,AG_REV,demand_unit,10_NA,,4,,30
s0011,AG_REV,demand_unit,11_NA,,2,,31
s0011,AG_REV,demand_unit,11_SA1,,2,,32
s0011,AG_REV,demand_unit,11_SA2,,2,,33
s0011,AG_REV,demand_unit,11_SA3,,2,,34
s0011,AG_REV,demand_unit,11_SA4,,2,,35
s0011,AG_REV,demand_unit,12_NA,,1,,36
s0011,AG_REV,demand_unit,12_SA,,1,,37
s0011,AG_REV,demand_unit,13_NA,,1,,38
s0011,AG_REV,demand_unit,14_NA,,1,,39
s0011,AG_REV,demand_unit,15N_NA1,,1,,40
s0011,AG_REV,demand_unit,15N_NA2,,1,,41
s0011,AG_REV,demand_unit,15N_SA,,1,,42
s0011,AG_REV,demand_unit,15S_NA1,,1,,43
s0011,AG_REV,demand_unit,15S_NA2,,2,,44
s0011,AG_REV,demand_unit,15S_SA,,1,,45
s0011,AG_REV,demand_unit,16_NA1,,1,,46
s0011,AG_REV,demand_unit,16_NA2,,1,,47
s0011,AG_REV,demand_unit,16_PA,,4,,48
s0011,AG_REV,demand_unit,16_SA,,2,,49
s0011,AG_REV,demand_unit,17N_NA,,1,,50
s0011,AG_REV,demand_unit,17S_NA,,2,,51
s0011,AG_REV,demand_unit,17S_SA,,1,,52
s0011,AG_REV,demand_unit,18_NA,,1,,53
s0011,AG_REV,demand_unit,18_SA,,2,,54
s0011,AG_REV,demand_unit,19_SA,,2,,55
