id,scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order,tier_version_id,created_at,created_by,updated_at,updated_by
1,s0011,AG_REV,demand_unit,02_NA,02_NA,2,1,1,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
2,s0011,AG_REV,demand_unit,02_PA,02_PA,4,1,2,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
3,s0011,AG_REV,demand_unit,02_SA,02_SA,1,1,3,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
4,s0011,AG_REV,demand_unit,03_NA,03_NA,1,1,4,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
5,s0011,AG_REV,demand_unit,03_PA,03_PA,2,1,5,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
6,s0011,AG_REV,demand_unit,03_SA,03_SA,1,1,6,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
7,s0011,AG_REV,demand_unit,04_NA,04_NA,2,1,7,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
8,s0011,AG_REV,demand_unit,04_PA1,04_PA1,4,1,8,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
9,s0011,AG_REV,demand_unit,04_PA2,04_PA2,4,1,9,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
10,s0011,AG_REV,demand_unit,05_NA,05_NA,2,1,10,8,2026-02-03 17:57:20.783743+00:00,2,2026-05-23 16:35:07.709635+00:00,2
