scenario,WBA2,WBA3,WBA4,WBA5,WBA6,WBA7N,WBA7S,WBA8N,WBA8S,WBA9,WBA10,WBA11,WBA12,WBA13,WBA14,WBA15N,WBA15S,WBA16,WBA17N,WBA17S,WBA18,WBA19,WBA20,WBA21,WBA22,WBA23,WBA24,WBA25,WBA26N,WBA26S,WBA50,WBA60N,WBA60S,WBA61,WBA62,WBA63,WBA64,WBA71,WBA72,WBA73,WBA90,DETAW
s0070,3.026473142,2.143649445,2.179697465,1.928248551,3.01180665,4.999,2.534884438,2.588546733,2.377692454,1.579567608,1.811035276,1.402555557,2.107333634,1.854105617,2.654409013,2.736967287,3.685420721,3.012185205,1.362592727,3.012007951,3.009558573,3.09332821,1.8057043,3.007842671,3.115948444,3.601067808,3.97399925,2.258193915,3.123869486,3.011147848,3.016262909,3.273366692,3.109543774,1.502524807,3.503595549,4.999,4.999,3.056528139,4.999,4.999,4.999,2.659755396
s0071,3.02286819,2.065617542,2.127326291,1.785402412,2.432414514,2.809902152,2.189593529,2.392470384,2.15060046,1.833648477,1.823187742,1.523959004,2.227189437,1.755359919,2.732345545,2.852689161,3.761746097,3.010953352,1.469566374,3.014429966,3.018792966,3.081696628,1.580862587,3.003079432,3.11483238,3.636142753,3.977071447,2.074228649,3.117368783,2.500445211,2.36112421,3.014040014,3.012432798,2.139892693,3.741477218,4.999,4.999,3.004832009,3.37160342,4.999,4.999,2.27955693
s0072,3.034308083,2.147819511,2.170318024,1.91493901,2.896682293,4.999,2.627332857,2.887096278,2.662656838,1.798693539,1.845011283,1.525090987,2.245243854,2.084649791,2.638417583,2.745313858,3.676664198,3.016593554,1.455773946,3.011459297,3.000057977,3.102735689,1.940993066,3.007839317,3.097392989,3.589181083,3.948324293,2.175931211,3.11403214,2.633695806,3.038442052,3.125445104,3.097935066,1.58689476,3.499463935,4.999,4.999,3.072813102,4.999,4.999,4.999,2.530383102
s0073,3.025985059,2.123788734,2.1226523,2.33458288,2.480404231,2.33315639,2.373425899,2.103412637,2.27744211,1.657614545,1.971431428,1.417283716,2.29862819,2.201095744,2.689902516,2.769351057,3.233195554,3.010009923,1.354513369,3.011946177,3.012423199,3.085064003,2.453411818,3.009701825,3.076214009,3.203444752,3.08675284,1.975145679,1.50085193,2.200738684,2.027218938,2.454110614,2.135459008,1.496998433,3.189154407,3.906149896,4.999,3.019299163,3.666318982,4.999,4.999,1.968217643
s0074,3.045977556,2.354977773,2.262987839,2.019474442,2.939150657,3.648707565,2.850439554,2.950434345,2.854822119,1.851664324,1.871907119,1.658353801,2.499578201,2.475966016,2.717930793,2.813805569,3.550540575,3.028509901,1.599023892,3.021327725,1.500001142,3.1157612,2.380017746,3.011514347,3.15319812,3.709964598,4.999,2.429888056,3.30319445,3.128666866,3.150765783,3.432258563,3.256020095,2.560398283,3.967984348,4.999,4.999,3.068984324,3.993200403,4.999,4.999,3.212748474
s0075,3.02102845,2.052192492,2.115776088,1.754299498,2.421068761,2.806370193,2.237022188,2.326330992,2.171523841,1.559963104,1.769483754,1.390601697,1.87208561,1.764072678,2.227016345,2.271809346,3.327375484,1.500094305,1.350974319,1.500084018,1.500051279,3.066493325,1.717242437,3.003005151,3.091285015,3.468029797,3.961475144,2.056432346,3.111151075,2.743066993,2.694888031,3.155347712,3.037289935,2.630754929,3.71262422,4.999,4.999,3.023991503,3.725515714,4.999,4.999,2.541344454
s0077,3.02061932,2.047434126,2.113989511,1.7334619,2.416525716,2.807071389,2.230993209,2.332486625,2.191012044,1.603354435,1.777390883,1.420143925,1.921530181,1.818873991,2.261356849,2.318034079,3.338293634,1.500055181,1.378181004,1.500026748,3.002726471,3.067284167,1.730232393,3.00315837,3.094276138,3.473931609,3.963355653,2.096405501,3.117993925,2.791874694,2.660023314,3.154009723,3.036958107,2.614119939,3.710799645,4.999,4.999,3.022066859,3.714850374,4.999,4.999,2.537889763
s0078,1.503446394,1.228298584,2.385915199,2.219182889,2.703004643,3.507390477,3.005455391,2.155192899,3.568594245,1.110530353,3.402286993,4.999,4.999,4.999,4.999,4.999,4.999,1.500836053,3.086539013,4.999,3.221910269,4.999,2.743347881,1.500074315,1.501068776,1.500138795,1.500006124,3.002134328,3.000355144,2.942874356,3.003206578,3.002673308,3.029566104,4.999,4.999,4.999,4.999,3.133357681,2.999297888,3.000096109,3.007726401,2.97268979
s0079,1.503488517,1.192737996,2.331085202,1.481333752,2.626892291,3.42020549,2.981235297,2.157431258,3.567331313,1.099003537,3.186469828,4.999,4.999,4.999,4.999,4.999,4.999,1.500869954,3.076522632,4.999,3.22111245,4.999,2.741588955,1.500080382,1.501113545,1.500370636,1.500013155,3.001436399,1.500008232,2.9449832,3.000932966,3.002666416,3.028043726,4.999,4.999,4.999,4.999,3.133278407,2.99928792,1.500000008,3.007599705,2.969940483
s0080,1.503491555,1.191239003,2.325249941,1.48067973,2.624471849,3.416860982,2.98081834,2.166568695,3.565096654,1.102957304,3.200969055,4.999,4.999,4.999,4.999,4.999,4.999,1.500867919,3.07417489,4.999,3.221298429,4.999,2.740279904,1.500081004,1.501122337,1.500370496,1.500013203,3.001421421,1.500008368,2.945749745,3.001105483,3.002647692,3.028550235,4.999,4.999,4.999,4.999,3.13326928,2.999289373,1.500000117,3.007612672,2.971083203
