scenario,AMR004,TRN111,FTR029,FTR003,MOK028,MCD005,SAC000,SAC049,SAC122,SAC148,SAC257,SJR127,SAC289,SJR070,STS011,TUO003,YUB002
s0098,3.09,4.5,3.64,4.67,4.77,4.7,3.0,3.0,3.18,3.09,4.18,4.98,3.27,3.09,4.4,4.93,4.38
s0099,3.18,4.5,4.12,4.67,4.77,4.75,3.0,3.0,3.27,3.09,4.18,4.98,3.46,3.09,4.37,4.94,4.37
s0100,3.09,4.5,3.64,4.67,4.77,4.74,3.0,3.0,3.09,3.09,4.17,4.98,3.36,3.09,4.38,4.94,4.37
s0101,3.09,4.5,3.55,4.67,4.77,4.73,3.0,3.0,3.18,3.09,4.19,4.98,3.36,3.09,4.38,4.93,4.38
s0102,3.27,4.5,4.27,4.32,4.77,4.78,3.0,3.0,3.18,3.09,4.18,4.98,3.46,3.27,4.38,4.95,4.16
s0103,3.27,4.51,4.18,4.35,4.77,4.8,3.0,3.0,3.18,3.09,4.17,4.98,3.64,3.18,4.33,4.94,4.14
s0104,3.09,1.66,2.46,1.0,2.36,2.0,3.0,2.27,3.09,1.0,1.17,2.36,1.66,2.0,2.09,2.46,4.08
s0105,3.0,4.52,3.91,4.35,4.79,4.77,3.0,3.0,3.27,3.09,4.18,4.98,3.46,3.18,4.32,4.95,4.33
s0107,3.36,4.54,4.23,4.55,4.88,4.33,3.0,3.09,4.14,3.46,4.23,4.98,3.82,4.25,4.65,4.95,4.47
s0108,3.46,4.54,4.26,4.47,4.88,4.38,3.0,3.09,4.13,3.64,4.23,4.98,3.73,4.25,4.78,4.92,4.16
s0109,3.36,4.55,4.29,4.57,4.88,4.38,3.0,3.0,4.14,3.64,4.22,4.98,3.82,4.25,4.77,4.91,4.18
s0110,3.09,4.58,4.15,4.52,4.87,4.31,3.0,3.0,3.82,3.64,4.2,4.98,4.12,4.24,4.79,4.94,4.49
s0111,3.18,4.58,4.15,4.54,4.87,4.31,3.0,3.0,3.64,3.46,4.19,4.98,3.91,4.24,4.79,4.93,4.5
s0112,3.27,4.53,4.47,4.26,4.88,4.29,3.0,3.09,4.18,3.46,4.23,4.98,3.46,4.21,4.79,4.91,4.19
s0113,3.46,4.54,4.28,4.47,4.88,4.39,3.0,3.0,4.14,3.55,4.23,4.98,3.73,4.23,4.64,4.95,4.14
s0114,3.36,4.53,4.48,4.23,4.88,4.29,3.0,3.0,4.16,3.55,4.22,4.98,3.46,4.21,4.79,4.91,4.2
