"Scenario","TierValue"
"47",4
"48",4
"49",4
"50",4
"51",4
"62",4
"67",4
"68",4
"69",4
"71",3
"72",4
"73",3
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
