id,du_urban_group_id,du_id,display_order,is_active,created_at,created_by,updated_at,updated_by
1,1,02_PU,1,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
2,1,02_SU,2,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
3,1,03_PU1,3,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
4,1,03_PU2,4,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
5,1,03_SU,5,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
6,1,11_NU1,6,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
7,1,12_NU1,7,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
8,1,13_NU1,8,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
9,1,16_PU,9,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
10,1,20_NU1,10,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
11,1,21_PU,11,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
12,1,24_NU1,12,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
13,1,24_NU2,13,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
14,1,24_NU3,14,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
15,1,25_PU,15,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
16,1,26N_NU1,16,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
17,1,26N_NU2,17,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
18,1,26N_NU3,18,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
19,1,26N_PU1,19,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
20,1,26N_PU2,20,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
21,1,26N_PU3,21,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
22,1,26S_NU1,22,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
23,1,26S_NU3,23,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
24,1,26S_PU1,24,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
25,1,26S_PU2,25,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
26,1,26S_PU4,26,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
27,1,26S_PU5,27,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
28,1,26S_PU6,28,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
29,1,50_PU,29,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
30,1,60N_NU1,30,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
31,1,60N_NU2,31,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
32,1,60S_NU1,32,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
33,1,61_NU2,33,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
34,1,62_NU,34,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
35,1,71_NU,35,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
36,1,72_NU,36,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
37,1,72_PU2,37,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
38,1,90_PU,38,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
39,1,AMADR,39,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
40,1,AMCYN,40,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
41,1,ANTOC,41,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
42,1,BNCIA,42,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
43,1,CCWD,43,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
44,1,CSB038,44,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
45,1,CSB103,45,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
46,1,CSTIC,46,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
47,1,ELDID_NU1,47,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
48,1,ELDID_NU2,48,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
49,1,ELDID_NU3,49,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
50,1,ESB324,50,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
51,1,ESB347,51,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
52,1,ESB414,52,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
53,1,ESB415,53,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
54,1,ESB420,54,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
55,1,FRFLD,55,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
56,1,GDPUD_NU,56,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
57,1,GRSVL,57,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
58,1,JLIND,58,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
59,1,MWD,59,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
60,1,NAPA,60,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
61,1,NAPA2,61,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
62,1,PCWA3,62,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
63,1,PLMAS,63,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
64,1,SBA029,64,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
65,1,SBA036,65,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
66,1,SCVWD,66,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
67,1,SUISN,67,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
68,1,TVAFB,68,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
69,1,UPANG,69,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
70,1,VLLJO,70,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
71,1,WLDWD,71,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
72,7,02_PU,1,True,2026-02-04 01:55:29.048834+00:00,2,2026-03-14 22:18:34.503785+00:00,2
