id,du_id,wba_id,hydrologic_region,dups,du_class,cs3_type,total_acres,polygon_count,source,model_source,agency,provider,gw,sw,point_of_diversion,diversion_arc,river_reach,river_mile_start,river_mile_end,bank,area_acres,annual_diversion_taf,demand_unit,table_id,has_gis_data,is_active,created_at,created_by,updated_at,updated_by,hydrologic_region_id,model_source_id
20,08N_SA2,08N,SAC,0,Agriculture,SA,84015.08,2,"geopackage,calsim_report",calsim3,Glenn-Colusa ID (55% of total),CVP,True,True,Glenn-Colusa Canal,,,,,,,,08N_SA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
21,08S_NA1,08S,SAC,0,Agriculture,,19453.06,2,"geopackage,calsim_report",calsim3,Non-district,,True,True,Sacramento River,D_SAC146_08S_NA1,Hamilton Bend to Sycamore Slough,154.00,134.00,Right,15600.00,8.00,08S_NA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
22,08S_NA2,08S,SAC,0,Agriculture,,18221.16,3,"geopackage,calsim_report",calsim3,Non-district,,True,True,Sacramento River,D_SAC129_08S_NA2,Sycamore Slough to Colusa Basin Drain Outfall,134.00,93.00,Right,,21.00,08S_NA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
23,08S_PA,08S,SAC,0,Agriculture,PA,36083.85,1,"geopackage,calsim_report",calsim3,Colusa Drain MWC (70% of total),CVP,True,True,Colusa Basin Drain,,,,,,,,08S_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
24,08S_SA1,08S,SAC,0,Agriculture,SA,18436.89,15,"geopackage,calsim_report",calsim3,"Maxwell ID (95% of total), Sycamore Family Trust, misc. settlement contractors",CVP,True,True,"Sacramento River, Colusa Basin Drain CalSim 3 Main Report",,,,,,,,08S_SA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
25,08S_SA2,08S,SAC,0,Agriculture,SA,73124.86,1,"geopackage,calsim_report",calsim3,Glenn-Colusa ID (45% of total),CVP,True,True,Glenn-Colusa Canal,,,,,,,,08S_SA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
26,08S_SA3,08S,SAC,0,Agriculture,SA,66224.91,2,"geopackage,calsim_report",calsim3,"RD 108, River Garden Farms, misc. settlement contractors",CVP,True,True,Sacramento River,,,,,,,,08S_SA3,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
27,09_NA,09,SAC,0,Agriculture,,59130.03,4,"geopackage,calsim_report",calsim3,"Llano Seco Ranch (formerly Parrot Ranch), Dayton MWC, non- district",,True,True,"Sacramento River, Butte Creek",D_SAC185_09_NA,Big Chico Creek to Butte Slough Outfall Gates,196.00,141.00,Left,5300.00,14.00,09_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
28,09_SA1,09,SAC,0,Agriculture,SA,7967.74,1,"geopackage,calsim_report",calsim3,Pacific Realty Associates (formerly M&T Chico Ranch),CVP,True,True,"Sacramento River, Butte Creek",,,,,,,,09_SA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
29,09_SA2,09,SAC,0,Agriculture,SA,29627.14,19,"geopackage,calsim_report",calsim3,"RD 1004, Carter MWC, Jack Baber, misc. settlement contractors",CVP,True,True,"Sacramento River, Butte Creek",,,,,,,,09_SA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
30,10_NA,10,SAC,-1,Agriculture,,107819.27,6,"geopackage,calsim_report",calsim3,"Rancho Esquon, Durham MWC, non-district",,True,True,Butte Creek,,,,,,,,10_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
31,11_NA,11,SAC,-1,Agriculture,,51650.18,5,"geopackage,calsim_report",calsim3,"Sutter Butte MWC, non-district",,True,True,"DWR Pump Station No. 2, Sutter Bypass",,,,,,,,11_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
32,11_SA1,11,SAC,-1,Agriculture,SA,60067.23,1,"geopackage,calsim_report",calsim3,Western Canal WD,SWP,True,True,Thermalito Afterbay via Western Canal and PG&E lateral,,Sutter Extension Water District to Fish Barrier Dam,37.90,67.00,Right,5300.00,0.00,11_SA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
33,11_SA2,11,SAC,-1,Agriculture,SA,33778.19,1,"geopackage,calsim_report",calsim3,Richvale ID,SWP,True,True,Thermalito Afterbay via Richvale and Sutter-Butte canals,,,,,,,,11_SA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
34,11_SA3,11,SAC,-1,Agriculture,SA,60772.82,2,"geopackage,calsim_report",calsim3,"Biggs-West Gridley WD, Butte WD",SWP,True,True,Thermalito Afterbay via Sutter-Butte Canal,,,,,,,,11_SA3,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
35,11_SA4,11,SAC,-1,Agriculture,SA,26271.33,1,"geopackage,calsim_report",calsim3,Sutter Extension WD,SWP,True,True,Thermalito Afterbay via Sutter-Butte Canal and Sunset Pumps,,,,,,,,11_SA4,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
36,12_NA,12,SAC,-1,Agriculture,,31349.95,1,"geopackage,calsim_report",calsim3,Non-district,,True,True,Irrigation return flow from South Feather Water and Power Agency,,,,,,,,12_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
37,12_SA,,SAC,,Agriculture,,,0,calsim_report,calsim3,Misc. FRSA diverters,,False,True,Feather River,D_FTR059_12_SA,Honcut Creek to Fish Barrier Dam,44.80,67.00,Left,2500.00,6.00,12_SA,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
38,13_NA,13,SAC,-1,Agriculture,,61567.80,2,"geopackage,calsim_report",calsim3,"South Feather Water and Power Agency, Yuba County WD",,True,True,"South Fork Feather, Lost Creek Non-district N/A • - N/A",,,,,,,,13_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
39,14_NA,14,SAC,-1,Agriculture,,71631.09,4,"geopackage,calsim_report",calsim3,Browns Valley ID,Browns Valley ID,True,True,"Yuba River, French Dry Creek",,,,,,,,14_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
40,15N_NA1,15N,SAC,-1,Agriculture,,18957.19,2,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,15N_NA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
41,15N_NA2,15N,SAC,-1,Agriculture,,29341.95,3,"geopackage,calsim_report",calsim3,"Cordua ID, Hallwood ID, Ramirez WD",Yuba WA,True,True,Lower Yuba River at Daguerre Point Dam,,,,,,,,15N_NA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
42,15N_SA,15N,SAC,-1,Agriculture,SA,672.19,1,"geopackage,calsim_report",calsim3,Misc. FRSA diverters,,False,True,Feather River,D_FTR045_15N_SA,Yuba River to Honcut Creek,27.70,44.80,Left,1900.00,4.00,15N_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
