id,short_code,name,citation,url,doc_date,notes,created_at,updated_at,created_by,updated_by
1,WAM_listing,Water Allocation Modeling Scenario Listing,,https://sites.google.com/ucsc.edu/coeqwal-water-allocation/calsim3-scenarios,2025-07-09,James' COEQWAL Water Allocation Modeling Team website,2024-01-01 00:00:00,2024-01-01 00:00:00,1,1
2,platform_content_summary,COEQWAL Platform Content Summary,,https://docs.google.com/spreadsheets/d/1xcQIR_J96-cs7BuCrXjznwkinLgxl-Pf9tA3mJ2GiyA/edit?usp=sharing,2025-07-09,"Ted's platform content summary, Summer 2025",2024-01-01 00:00:00,2024-01-01 00:00:00,1,1
