id,short_code,name,citation,url,doc_date,notes,created_by,updated_by
1,advisory_cohort_posters,May 2025 Advisory Cohort Posters,,https://drive.google.com/drive/folders/1Ouskf3svkR3RxdiKu2UA6oAXDA2f3C4o?usp=drive_link,2025-06-01,Research themes and storylines from Advisory Cohort poster text,1,
2,platform_content_summary,COEQWAL Platform Content Summary,,https://docs.google.com/spreadsheets/d/1xcQIR_J96-cs7BuCrXjznwkinLgxl-Pf9tA3mJ2GiyA/edit?usp=sharing,2025-07-09,"Ted's platform content summary, Summer 2025",1,
