Scenario,S_SHSTA_Storage_Tier,S_TRNTY_Storage_Tier,S_OROVL_Storage_Tier,S_FOLSM_Storage_Tier,S_MELON_Storage_Tier,S_MLRTN_Storage_Tier,S_SLUIS_CVP_Storage_Tier,S_SLUIS_SWP_Storage_Tier
s0108,3.294117647,3.882352941,3.323529412,3.205882353,1.52,4.333333333,3.147058824,3.676470588
s0109,3.5,3.911764706,3.323529412,3.352941176,1.52,4.333333333,3.235294118,3.764705882
s0110,3.411764706,3.999999,3.558823529,3.588235294,1.4,4.424242424,3.411764706,4.151515152
s0111,3.441176471,4.03030303,3.558823529,3.558823529,1.4,4.424242424,3.470588235,4.181818182
s0112,2.999999,3.705882353,3.176470588,3.088235294,1.52,4.090909091,1.96,3.705882353
s0113,3.176470588,3.882352941,3.323529412,3.235294118,2.5,4.181818182,3.264705882,3.735294118
s0114,2.875,3.647058824,3.176470588,3.117647059,1.52,4.090909091,1.92,3.617647059
s0115,3.176470588,3.882352941,3.323529412,3.235294118,2.5,4.181818182,3.264705882,3.735294118
s0117,2.125,2.75,1.999999,2.75,1.16,4.333333333,1.84,4.272727273
s0118,4.454545455,4.484848485,2.5,3.058823529,4.575757576,4.303030303,3.029411765,1.8
s0119,4.454545455,4.878787879,3.911764706,4.090909091,4.818181818,4.424242424,1.64,2.375
s0120,4.454545455,4.484848485,2.875,3.058823529,4.575757576,4.303030303,3.205882353,2.25
s0121,3.235294118,3.882352941,3.323529412,3.235294118,1.52,4.333333333,3.264705882,4.393939394
s0123,3.235294118,3.852941176,3.323529412,3.235294118,1.52,4.333333333,3.235294118,3.823529412
s0124,3.294117647,3.911764706,3.588235294,3.941176471,1.56,4.424242424,3.941176471,4.151515152
s0125,3.117647059,3.705882353,3.323529412,3.470588235,1.56,4.424242424,3.294117647,3.588235294
s0126,3.147058824,3.705882353,3.5,3.5,1.56,4.424242424,3.382352941,3.735294118
s0127,3.176470588,3.852941176,3.588235294,3.735294118,1.56,4.424242424,3.588235294,3.764705882
s0128,3.088235294,3.676470588,3.294117647,3.235294118,2.5,4.181818182,1.72,3.529411765
s0129,3.176470588,3.794117647,3.294117647,3.294117647,1.52,4.333333333,3.147058824,3.705882353
s0130,4.303030303,4.848484848,3.911764706,3.999999,4.818181818,4.515151515,1.36,1.84
s0131,3.088235294,3.852941176,3.470588235,3.441176471,2.875,4.181818182,3.470588235,2.625
