id,short_code,network_id,river,from_node,to_node,shape_length_m,model_source_id,source_id,network_version_id,is_active,created_at,created_by,updated_at,updated_by
1479,D_PSC003_PSCLOS,3021,PSC,PSC003,,3043.00263183864,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1480,D_PSC006_25_PA2,3022,PSC,PSC006,25_PA2,16328.1543999994,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1481,D_PSC013_WTPDEF,3023,PSC,PSC013,WTPDEF,375.337400000542,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1482,D_PSC015_CSPSO,3024,PSC,PSC015,CSPSO,1531.60381206851,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1483,D_PSC017_WTPNBR,3025,PSC,PSC017,WTPNBR,343.28569999896,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1484,D_PSC020_WTPCMT,3026,PSC,PSC020,WTPCMT,157.246547420643,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1485,D_PSC024_SIDSH,3027,PSC,PSC024,SIDSH,4081.73799999896,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1486,D_PSC024_WTPWMN,3028,PSC,PSC024,WTPWMN,400.977300001308,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1487,D_PSC033_VJB000,3029,PSC,PSC033,VJB000,1622.42490000091,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1488,D_PTH024_PSC003,3030,PTH,PTH024,PSC003,5251.56503119682,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1489,D_PTH070_PUTAH,3031,PTH,PTH070,PUTAH,12897.5643003117,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1490,D_RFS13_12_NA,3036,RFS,RFS13,12_NA,10043.3472999996,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1491,D_RFS25_25_PA2,3037,RFS,RFS25,25_PA2,10322.8294000011,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1492,D_RFS61B_61_NA2,3038,RFS,RFS61B,61_NA2,6886.05535123383,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1493,D_RFS61D_61_NA5,3039,RFS,RFS61D,61_NA5,18784.8511987968,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1494,D_RFS64_64_NA2,3040,RFS,RFS64,64_NA2,7623.67784415857,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1495,D_RFS71A_50_PA1,3041,RFS,RFS71A,50_PA1,11273.4209995812,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1496,D_RSL004_CCC004,3043,RSL,RSL004,CCC004,6343.31874292032,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1497,D_RUB047_RRT000,3045,RUB,RUB047,RRT000,283.432930972996,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1498,D_RVC005_11_PR,3046,RVC,RVC005,11_PR,16623.2486912921,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1499,D_RVC005_11_SA2,3047,RVC,RVC005,11_SA2,8560.85379129238,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1500,D_SAC030_MOK014,3048,SAC,SAC030,MOK014,2987.08735481092,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1501,D_SAC050_FPT013,3050,SAC,SAC050,FPT013,20193.132232526,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1502,D_SAC062_WTPSAC,3051,SAC,SAC062,WTPSAC,546.484981870191,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1503,D_SAC065_WTPBTB,3052,SAC,SAC065,WTPBTB,252.527140191529,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1504,D_SAC074_21_SA,3053,SAC,SAC074,21_SA,9196.84800876345,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1505,D_SAC074_WTPDWP,3054,SAC,SAC074,WTPDWP,6880.28136699753,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1506,D_SAC075_22_NA,3055,SAC,SAC075,22_NA,3059.50270000007,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1507,D_SAC078_22_SA1,3056,SAC,SAC078,22_SA1,3929.50310090646,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1508,D_SAC081_21_NA,3057,SAC,SAC081,21_NA,1092.44760000054,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1509,D_SAC082_22_SA1,3058,SAC,SAC082,22_SA1,7940.50729999878,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1510,D_SAC083_21_SA,3059,SAC,SAC083,21_SA,20792.8340439717,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1511,D_SAC091_19_SA,3060,SAC,SAC091,19_SA,11304.2345564811,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1512,D_SAC099_19_SA,3061,SAC,SAC099,19_SA,6207.35869999975,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1513,D_SAC109_08S_SA3,3062,SAC,SAC109,08S_SA3,5274.48647128713,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1514,D_SAC109_19_SA,3063,SAC,SAC109,19_SA,9163.94367532351,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1515,D_SAC115_19_SA,3064,SAC,SAC115,19_SA,15121.3323180658,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1516,D_SAC121_08S_SA3,3065,SAC,SAC121,08S_SA3,15220.508633683,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1517,D_SAC122_19_SA,3067,SAC,SAC122,19_SA,18303.9387785214,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1518,D_SAC129_08S_NA2,3068,SAC,SAC129,08S_NA2,2808.83410000056,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1519,D_SAC136_18_NA,3069,SAC,SAC136,18_NA,10041.9119535527,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1520,D_SAC136_18_SA,3070,SAC,SAC136,18_SA,9031.44513659392,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1521,D_SAC146_08S_NA1,3071,SAC,SAC146,08S_NA1,6960.41605153951,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1522,D_SAC159_08N_SA1,3072,SAC,SAC159,08N_SA1,5702.02669669749,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1523,D_SAC159_08S_SA1,3073,SAC,SAC159,08S_SA1,12266.765926298,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1524,D_SAC162_09_SA2,3074,SAC,SAC162,09_SA2,11510.5718999999,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1525,D_SAC178_08N_SA1,3075,SAC,SAC178,08N_SA1,22339.7974311837,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1526,D_SAC185_08N_NA,3076,SAC,SAC185,08_NA,15078.3263672881,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1527,D_SAC185_09_NA,3077,SAC,SAC185,09_NA,8311.76634173165,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1528,D_SAC196_MTC000,3078,SAC,SAC196,MTC000,1464.13545443054,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1529,D_SAC207_GCC007,3079,SAC,SAC207,GCC007,12860.5619196694,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1530,D_SAC224_04_NA,3080,SAC,SAC224,04_NA,9627.7621545817,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1531,D_SAC240_05_NA,3081,SAC,SAC240,05_NA,32710.5269373337,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1532,D_SAC240_TCC001,3082,SAC,SAC240,TCC001,876.233980253896,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1533,D_SAC273_03_NA,3083,SAC,SAC273,03_NA,12464.8847624773,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1534,D_SAC281_02_NA,3084,SAC,SAC281,02_NA,15079.583288225,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1535,D_SAC289_03_SA,3085,SAC,SAC289,03_SA,8093.81579999905,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1536,D_SAC294_03_PA,3086,SAC,SAC294,03_PA,7528.73629999906,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1537,D_SAC294_WTPBLV,3087,SAC,SAC294,WTPBLV,2109.58949999977,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1538,D_SAC296_02_SA,3088,SAC,SAC296,02_SA,30599.0202105357,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1539,D_SAC296_WTPFTH,3089,SAC,SAC296,WTPFTH,2558.21490340871,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1540,D_SBP012_DWRPS1,3095,SBP,SBP012,DWRPS1,876.274099999107,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1541,D_SBP014_17S_NA,3096,SBP,SBP014,17S_NA,8989.46600000001,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1542,D_SBP021_DWRPS2,3097,SBP,SBP021,DWRPS2,714.316202689667,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1543,D_SBP028_17S_PR,3098,SBP,SBP028,17S_PR,9444.05077239852,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1544,D_SBP031_18_NA,3099,SBP,SBP031,18_NA,4629.06044588207,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1545,D_SEC009_11_SA4,3100,SEC,SEC009,11_SA4,19545.9435358847,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1546,D_SEC009_17S_PR,3101,SEC,SEC009,17S_PR,28877.3684108536,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1547,D_SFA040_WRT004,3103,SFA,SFA040,WRT004,7957.29609222833,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1548,D_SFA066_EDC000,3104,SFA,SFA066,EDC000,175.990294809774,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1549,D_SFD003_CSD014,3105,SFD,SFD003,CSD014,23272.362346512,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1550,D_SFF011_MNRRH,3106,SFF,SFF011,MNRRH,18217.9528807846,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1551,D_SFF029_SFT000,3108,SFF,SFF029,SFT000,153.330343153667,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1552,D_SFM005_MHILL,3109,SFM,SFM005,MHILL,4029.86730000816,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1553,D_SFR006_RPT004,3111,SFR,SFR006,RPT004,5900.40118766662,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1554,D_SHSTA_WTPJMS,3115,SHSTA,SHSTA,WTPJMS,704.673029329564,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1555,D_SJR006_ANTOC,3117,SJR,SJR006,ANTOC,4308.94076640312,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1556,D_SJR028_WTPDWS,3118,SJR,SJR028,WTPDWS,17256.2683871212,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1557,D_SJR062_50_PA1,3119,SJR,SJR062,50_PA1,11312.7555731231,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1558,D_SJR070_61_NA6,3120,SJR,SJR070,61_NA6,6557.28519999981,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1559,D_SJR081_61_NA5,3121,SJR,SJR081,61_NA5,2591.35190000013,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1560,D_SJR082_71_PA2,3122,SJR,SJR082,71_PA2,9227.99789999984,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
