scenario_id,assumption_id
1,2
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,18
10,18
11,17
12,17
13,18
14,18
15,17
16,17
17,17
18,17
19,17
20,17
21,17
22,17
