id,short_code,label,description
1,summary,Summary,Aggregate summary statistics (mean median min max cv stdev)
2,percentile_band,Percentile Band,Standard quantile bands aligned with DWR water year types
3,exceedance,Exceedance,Exceedance percentiles for flow duration and reliability analysis
