source,description,is_active,created_by
calsim_report,CalSim-3 report final.pdf,true,1,
james_gilbert,James Gilbert,true,1,
calsim_variables,CalSim variables from output and sv data,true,1,
geopackage,CalSim3_GeoSchematic_20221227_COEQWAL_Revisions2024_corrected.gpkg,true,1,
trend_report,variables from Gilbert team trend reports,true,1,
metadata,scenario metadata,TRUE,1,
cvm_docs,Central Valley Model documentation,true,1,
network_schematic,network schematic,TRUE,1,
