id,short_code,label,description,is_active,created_at,created_by,updated_at,updated_by
1,TUCP_TUCO,TUCP and TUCO,Temporary Urgency Change Petitions and Temporary Urgency Change Orders,1,2024-01-01 00:00:00,1,2024-01-01 00:00:00,1
2,land_use,Land Use,Agricultural and urban land use assumptions,1,2024-01-01 00:00:00,1,2024-01-01 00:00:00,1
3,gw_restrictions,Groundwater Restrictions,SGMA and other groundwater pumping restrictions,1,2024-01-01 00:00:00,1,2024-01-01 00:00:00,1
4,slr,Sea Level Rise,Sea level rise assumptions,1,2024-01-01 00:00:00,1,2024-01-01 00:00:00,1
5,gw_model,Groundwater Model,Groundwater model assumptions,1,2024-01-01 00:00:00,1,2024-01-01 00:00:00,1
6,infrastructure,Infrastructure,Water infrastructure assumptions,1,2024-01-01 00:00:00,1,2024-01-01 00:00:00,1
7,flow,Environmental Flow,Instream flow and minimum flow assumptions,1,2024-01-01 00:00:00,1,2024-01-01 00:00:00,1
8,biops,Biological Opinions,USBR and NMFS biological opinion assumptions,1,2024-01-01 00:00:00,1,2024-01-01 00:00:00,1

