theme_id,scenario_id
1,23
1,24
1,25
2,1
2,6
2,9
2,7
2,10
3,11
3,8
3,13
3,12
3,14
3,21
4,16
4,17
4,18
4,15
4,19
4,20
4,10
4,22
4,11
6,2
6,3
6,4
6,5
