du_id,gw_pdf,sw_pdf,n_systems_pdf
02_PU,1,1,8
08N_NU,1,0,16
11_NU2,1,1,12
20_NU2,1,1,19
21_NU,1,1,4
24_NU1,1,1,4
26N_NU513,1,0,2
26N_PU3,1,1,5
26S_PU1,0,1,1
50_PU,1,1,6
62_NU,1,1,22
71_NU,1,0,14
CWD,1,1,5
GRSVL,0,1,6
