du_id,seed_gw,seed_sw,xlsx_gw_su,xlsx_sw_du,pdf_or_gw,pdf_or_sw,pdf_n_systems,in_pdf_extract,seed_xlsx_agree,xlsx_pdf_agree,seed_pdf_agree,pattern,seed_source,xlsx_note
NAPA,0,1,0,1,0,1,0,True,True,True,True,,calsim_report,
NAPA2,1,1,0,1,,,0,True,False,,,mixed,tier_matrix,
PCWA3,0,1,0,1,0,1,0,True,True,True,True,,tier_matrix,
PINES,0,1,0,1,0,1,0,True,True,True,True,,calsim_report,
PLMAS,1,1,0,1,1,1,0,True,False,False,True,mixed,calsim_report,
SBA029,0,1,0,1,,,0,False,True,,,,tier_matrix,
SBA036,0,1,0,1,,,0,False,True,,,,tier_matrix,
SCVWD,0,1,0,1,,,0,False,True,,,,tier_matrix,
SUISN,0,1,0,1,0,1,0,True,True,True,True,,calsim_report,
TVAFB,0,1,0,1,0,1,0,True,True,True,True,,calsim_report,
UPANG,0,1,0,1,0,1,0,True,True,True,True,,calsim_report,
VLLJO,0,1,0,1,0,1,0,True,True,True,True,,calsim_report,
WLDWD,0,1,0,1,0,1,0,True,True,True,True,,calsim_report,
