id,short_code,label,description,is_active,created_at,created_by,updated_at,updated_by
1,land_use,Land Use,Agricultural and urban land use assumptions,True,2024-01-01 00:00:00+00:00,2,2026-03-01 21:36:26.383687+00:00,2
2,gw_model,Groundwater Model,Groundwater model coupling assumptions (e.g. C2VSimFG),True,2024-01-01 00:00:00+00:00,2,2026-03-01 21:36:26.383687+00:00,2
