id,du_urban_group_id,du_id,display_order,is_active,created_at,created_by,updated_at,updated_by
1,1,02_PU,1,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
2,1,02_SU,2,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
3,1,03_PU1,3,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
4,1,03_PU2,4,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
5,1,03_SU,5,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
6,1,11_NU1,6,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
7,1,12_NU1,7,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
8,1,13_NU1,8,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
9,1,16_PU,9,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
10,1,20_NU1,10,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
11,1,21_PU,11,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
12,1,24_NU1,12,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
13,1,24_NU2,13,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
14,1,24_NU3,14,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
15,1,25_PU,15,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
16,1,26N_NU1,16,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
17,1,26N_NU2,17,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
18,1,26N_NU3,18,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
19,1,26N_PU1,19,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
20,1,26N_PU2,20,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
21,1,26N_PU3,21,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
22,1,26S_NU1,22,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
23,1,26S_NU3,23,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
24,1,26S_PU1,24,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
25,1,26S_PU2,25,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
26,1,26S_PU4,26,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
27,1,26S_PU5,27,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
28,1,26S_PU6,28,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
29,1,50_PU,29,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
30,1,60N_NU1,30,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
31,1,60N_NU2,31,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
32,1,60S_NU1,32,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
33,1,61_NU2,33,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
34,1,62_NU,34,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
35,1,71_NU,35,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
36,1,72_NU,36,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
37,1,72_PU2,37,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
38,1,90_PU,38,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
39,1,AMADR,39,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
40,1,AMCYN,40,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
41,1,ANTOC,41,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
42,1,BNCIA,42,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
43,1,CCWD,43,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
44,1,CSB038,44,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
45,1,CSB103,45,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
46,1,CSTIC,46,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
47,1,ELDID_NU1,47,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
48,1,ELDID_NU2,48,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
49,1,ELDID_NU3,49,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
50,1,ESB324,50,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
51,1,ESB347,51,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
