from_element_id,to_element_id,from_element_code,to_element_code,created_by,connection_type,source_id
955,6165,D_SEC009_11_SA4,11_SA4 Sutter Extension WD,2,diversion,5
1958,955,SEC009,D_SEC009_11_SA4,2,operational,5
6165,2825,11_SA4 Sutter Extension WD,R_11_SA4_DWRPS2,2,operational,5
5907,2946,11_SA2 Richvale ID,R_11_SA2_CRK005,2,operational,5
1969,1826,JBC002,D_JBC002_RVC005,2,operational,5
1472,1139,C_TAB000,FTR059,2,operational,5
999,2867,JBC004,D_JBC004_11_SA3,2,operational,5
2178,148,JBC008,C_JBC008,2,operational,5
2331,1591,C_LDC029,LDC021,2,operational,5
762,2331,LDC029,C_LDC029,2,operational,5
1299,1853,C_LDC021,LDC007,2,operational,5
1591,1299,LDC021,C_LDC021,2,operational,5
1800,1291,D_THRMA_WEC000,THRMA,2,diversion,5
2546,1896,BGD000,C_BGD000,2,operational,5
1882,1931,SFT000,C_SFT000,2,operational,5
999,1354,JBC004,C_JBC004,2,operational,5
1354,2178,C_JBC004,JBC008,2,operational,5
1639,1395,SR_15N_HON004,HON004,2,storage_return,5
1913,1881,FDC006,D_FDC006_14_NA,2,operational,5
1044,2129,YUB013,D_YUB013_14_NA,2,operational,5
2708,883,C_ENGLB,YUB024,2,operational,5
1541,6821,D_CLR009_02_NA,02_NA Non-District,2,diversion,5
5689,2839,02_SU City of Redding,R_02_SU_CCWWTP,2,operational,5
2839,522,R_02_SU_CCWWTP,CCWWTP,2,return,5
403,5984,D_WKYTN_02_PU,"02_PU Centerville CSD, Clear Creek CSD, Keswick CSA, Shasta CSD",2,diversion,5
403,233,D_WKYTN_02_PU,WKYTN,2,diversion,5
637,233,C_CLR025,WKYTN,2,operational,5
2490,637,CLR025,C_CLR025,2,operational,5
43,2471,SAC257,C_SAC257,2,operational,5
2488,706,SR_02_CWD003,CWD003,2,storage_return,5
2966,43,SR_02_SAC257,SAC257,2,storage_return,5
788,2907,SR_03_SAC277,SAC277,2,storage_return,5
635,1974,SR_03_KSWCK,KSWCK,2,storage_return,5
513,2126,SR_03_COW003,COW003,2,storage_return,5
2197,706,C_CWD004,CWD003,2,operational,5
4776,729,SG220_BTL006_36,BTL006,2,operational,5
29,6062,D_ELD012_04_NA,"04_NA Non-District, Misc. Settlement Contractors",2,diversion,5
2039,1178,R_04_NA_SAC207,SAC207,2,return,5
2558,6439,D_TCC022_04_PA2,04_PA2 Kirkwood WD,2,diversion,5
1916,1379,R_04_PA1_THM005,THM005,2,return,5
1357,5051,D_CCL005_04_PA1,"04_PA1 Corning WD, Proberta WD, Thomes Creek WD",2,diversion,5
1951,2724,C_MLC006,MLC004,2,operational,5
2248,741,I_MLC006,MLC006,2,operational,5
440,1259,I_DRC012,DRC012,2,operational,5
1130,269,C_ELD017,ELD012,2,operational,5
1165,2934,C_THM017,THM012,2,operational,5
272,1379,C_THM012,THM005,2,operational,5
1185,6062,D_THM012_04_NA,"04_NA Non-District, Misc. Settlement Contractors",2,diversion,5
757,2306,C_TCC022,TCC031,2,operational,5
1112,5500,D_SAC240_05_NA,"05_NA Los Molinos MWC, Non-District Misc Settlement Contractors",2,diversion,5
1223,5500,D_ANT010_05_NA,"05_NA Los Molinos MWC, Non-District Misc Settlement Contractors",2,diversion,5
1404,5500,D_MLC006_05_NA,"05_NA Los Molinos MWC, Non-District Misc Settlement Contractors",2,diversion,5
124,5500,D_DRC010_05_NA,"05_NA Los Molinos MWC, Non-District Misc Settlement Contractors",2,diversion,5
1355,1163,R_05_NA_SAC201,SAC201,2,return,5
1396,1996,C_DRC010,DRC005,2,operational,5
634,699,C_SGRGE,BLKBT,2,operational,5
2106,1752,C_BLKBT,STN026,2,operational,5
530,5594,D_STN026_06_PA,06_PA Orland Unit WUA,2,diversion,5
2819,2306,D_STN014_TCC031,TCC031,2,diversion,5
1947,1843,D_SAC207_GCC007,GCC007,2,diversion,5
10,1150,C_GCC007,GCC010,2,operational,5
2227,1725,C_STN021,STN014,2,operational,5
1821,1288,C_GCC010,GCC015,2,operational,5
2320,292,C_STN026,STN021,2,operational,5
1668,1220,C_ELD012,ELD005,2,operational,5
1977,1147,C_ELD027,ELD022,2,operational,5
529,2853,I_ELD027,ELD027,2,operational,5
980,2586,C_THM021,THM017,2,operational,5
108,1850,C_THM028,THM026,2,operational,5
11,1802,I_THM028,THM028,2,operational,5
1662,6062,D_SAC224_04_NA,"04_NA Non-District, Misc. Settlement Contractors",2,diversion,5
1178,1947,SAC207,D_SAC207_GCC007,2,operational,5
1725,2819,STN014,D_STN014_TCC031,2,operational,5
2724,486,MLC004,C_MLC004,2,operational,5
4422,529,Elder Creek,I_ELD027,2,operational,5
1059,1130,ELD017,C_ELD017,2,operational,5
1147,2748,ELD022,C_ELD022,2,operational,5
2853,1977,ELD027,C_ELD027,2,operational,5
1802,108,THM028,C_THM028,2,operational,5
634,6248,C_SGRGE,S_SGRGE,2,operational,5
431,937,STN004,C_STN004,2,operational,5
2227,292,C_STN021,STN021,2,operational,5
2320,1752,C_STN026,STN026,2,operational,5
2106,5676,C_BLKBT,S_BLKBT,2,operational,5
1158,1401,BCC004,C_BCC004,2,operational,5
2429,1460,SAC214,C_SAC214,2,operational,5
1441,1573,SAC224,C_SAC224,2,operational,5
2761,2712,SAC218,C_SAC218,2,operational,5
1633,1934,ANT010,C_ANT010,2,operational,5
741,1951,MLC006,C_MLC006,2,operational,5
764,1396,DRC010,C_DRC010,2,operational,5
1996,1540,DRC005,C_DRC005,2,operational,5
45,2192,SAC228,C_SAC228,2,operational,5
1141,946,SAC232,C_SAC232,2,operational,5
272,2934,C_THM012,THM012,2,operational,5
1019,1379,C_THM005,THM005,2,operational,5
1586,1220,C_ELD005,ELD005,2,operational,5
2306,2674,TCC031,C_TCC031,2,operational,5
6401,440,Deer Creek (DRC),I_DRC012,2,operational,5
6369,2248,Mill Creek,I_MLC006,2,operational,5
3993,1779,Antelope Creek,I_ANT011,2,operational,5
741,1404,MLC006,D_MLC006_05_NA,2,operational,5
1081,1112,SAC240,D_SAC240_05_NA,2,operational,5
269,29,ELD012,D_ELD012_04_NA,2,operational,5
1185,2934,D_THM012_04_NA,THM012,2,diversion,5
154,2558,TCC022,D_TCC022_04_PA2,2,operational,5
764,124,DRC010,D_DRC010_05_NA,2,operational,5
1223,1633,D_ANT010_05_NA,ANT010,2,diversion,5
530,1752,D_STN026_06_PA,STN026,2,diversion,5
2622,1357,CCL005,D_CCL005_04_PA1,2,operational,5
6439,1298,04_PA2 Kirkwood WD,R_04_PA2_SAC207,2,operational,5
5500,1355,"05_NA Los Molinos MWC, Non-District Misc Settlement Contractors",R_05_NA_SAC201,2,operational,5
6062,2039,"04_NA Non-District, Misc. Settlement Contractors",R_04_NA_SAC207,2,operational,5
5051,1916,"04_PA1 Corning WD, Proberta WD, Thomes Creek WD",R_04_PA1_THM005,2,operational,5
1843,10,GCC007,C_GCC007,2,operational,5
2714,445,D_SAC240_TCC001,TCC001,2,diversion,5
89,1097,C_EPARK,SGRGE,2,operational,5
4250,2872,Stony Creek,I_EPARK,2,operational,5
4878,2698,Stony Gorge Local Inflow,I_SGRGE,2,operational,5
4577,1447,Black Butte Local Inflow,I_BLKBT,2,operational,5
1447,699,I_BLKBT,BLKBT,2,operational,5
467,2622,D_TCC001_CCL005,CCL005,2,diversion,5
445,467,TCC001,D_TCC001_CCL005,2,operational,5
371,1158,C_BCC006,BCC004,2,operational,5
2901,371,BCC006,C_BCC006,2,operational,5
2049,2901,C_BCC012,BCC006,2,operational,5
480,2049,BCC012,C_BCC012,2,operational,5
1288,441,GCC015,C_GCC015,2,operational,5
1365,886,C_GCC022,GCC027,2,operational,5
215,1365,GCC022,C_GCC022,2,operational,5
2028,154,C_TCC001,TCC022,2,operational,5
445,2028,TCC001,C_TCC001,2,operational,5
704,1163,SR_05_SAC201,SAC201,2,storage_return,5
631,1178,SR_04_SAC207,SAC207,2,storage_return,5
1725,2626,STN014,C_STN014,2,operational,5
471,5594,D_STN021_06_PA,06_PA Orland Unit WUA,2,diversion,5
471,292,D_STN021_06_PA,STN021,2,diversion,5
1522,431,C_STN009,STN004,2,operational,5
1233,2897,C_THM026,THM021,2,operational,5
2932,1633,C_ANT011,ANT010,2,operational,5
1471,2932,ANT011,C_ANT011,2,operational,5
1315,764,C_DRC012,DRC010,2,operational,5
1259,1315,DRC012,C_DRC012,2,operational,5
154,4700,TCC022,D_TCC022_TCCLOS,2,operational,5
1298,1178,R_04_PA2_SAC207,SAC207,2,return,5
6368,1081,SG231_SAC240_39,SAC240,2,operational,5
4703,45,SG236_SAC228_41,SAC228,2,operational,5
4276,2761,SG255_SAC218_46,SAC218,2,operational,5
5824,2429,SG260_SAC214_48,SAC214,2,operational,5
3702,1220,SG241_ELD005_42,ELD005,2,operational,5
4916,1850,SG248_THM026_45,THM026,2,operational,5
5467,2897,SG249_THM021_45,THM021,2,operational,5
3585,2586,SG250_THM017_45,THM017,2,operational,5
6811,2934,SG251_THM012_45,THM012,2,operational,5
6448,1379,SG252_THM005_45,THM005,2,operational,5
6194,1752,SG263_STN026_49,STN026,2,operational,5
3611,292,SG264_STN021_49,STN021,2,operational,5
4512,1725,SG265_STN014_49,STN014,2,operational,5
6595,1938,SG266_STN009_49,STN009,2,operational,5
4842,431,SG268_STN004_49,STN004,2,operational,5
4343,1996,SG257_DRC005_47,DRC005,2,operational,5
6101,764,SG256_DRC010_47,DRC010,2,operational,5
4927,2901,SG270_BCC006_50,BCC006,2,operational,5
5552,1158,SG271_BCC004_50,BCC004,2,operational,5
2579,1608,SAC217,C_SAC217,2,operational,5
1150,1821,GCC010,C_GCC010,2,operational,5
2743,832,SAC229,C_SAC229,2,operational,5
