short_code,source_mask,geopackage_source_id,xml_source_id,has_spatial_data,has_connectivity_data,schematic_type,name,type,sub_type,shape_length,hydrologic_region_id,network_version_id,is_active,created_by
DMC116,3,4.0,5.0,True,True,node,DMC116,CH,SG,,2.0,12,True,2
SR_02_KSWCK,3,4.0,5.0,True,True,arc,,SR,,2500.00005720655,1.0,12,True,2
CT_WILKINSSL,3,4.0,5.0,True,True,arc,,CT,,7499.9999567563,1.0,12,True,2
C_SAC195,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,4837.96816056265,1.0,12,True,2
I_SFA030,3,4.0,5.0,True,True,arc,,IN,LI,7499.99999700113,1.0,12,True,2
C_YBP014,3,4.0,5.0,True,True,arc,Yolo Bypass,CH,BP,4828.04164403989,1.0,12,True,2
D_RVC005_11_PR,3,4.0,5.0,True,True,arc,Richvale ID - Buttler Canal,D,CL,16623.2486912921,1.0,12,True,2
R_22_SA1_RFS22,3,4.0,5.0,True,True,arc,Unlabeled Return Flow,RT,,9144.17941533872,1.0,12,True,2
C_SJR033,3,4.0,5.0,True,True,arc,San Joaquin River,CH,ST,7028.94558915697,1.0,12,True,2
C_BRC002,3,4.0,5.0,True,True,arc,Bear Creek,CH,ST,2613.51391164739,1.0,12,True,2
D_WTPSAC_26N_NU3,3,4.0,5.0,True,True,arc,,D,,9792.78689999972,1.0,12,True,2
I_SFM005,3,4.0,5.0,True,True,arc,,IN,LI,7500.00013451783,2.0,12,True,2
TCC085,3,4.0,5.0,True,True,node,TCC085,CH,CNL,,1.0,12,True,2
C_SCW008,3,4.0,5.0,True,True,arc,South Fork Cottonwood Creek,CH,ST,12588.8664294363,1.0,12,True,2
NFF060,3,4.0,5.0,True,True,node,NFF060,CH,STM,,1.0,12,True,2
I_SFY007,3,4.0,5.0,True,True,arc,,IN,LI,7499.99996169677,1.0,12,True,2
C_LOSVQ,3,4.0,5.0,True,True,arc,,CH,CL,19898.329278658,1.0,12,True,2
D_WKYTN_WTPBUK,3,4.0,5.0,True,True,arc,,D,,6534.82700712904,1.0,12,True,2
MOK050,3,4.0,5.0,True,True,node,MOK050,CH,STM,,2.0,12,True,2
D_STS059_UFC000,3,4.0,5.0,True,True,arc,,D,,5213.27871285492,2.0,12,True,2
CMN006,3,4.0,5.0,True,True,node,CMN006,CH,SG,,1.0,12,True,2
BEC024,3,4.0,5.0,True,True,node,BEC024,CH,SG,,1.0,12,True,2
FSC027,3,4.0,5.0,True,True,node,FSC027,CH,CNL,,1.0,12,True,2
C_BLKBT,3,4.0,5.0,True,True,arc,Stony Creek,CH,ST,596.803692112069,1.0,12,True,2
SAC174,3,4.0,5.0,True,True,node,SAC174,CH,STM,,1.0,12,True,2
C_SAC134,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,8046.71998543938,1.0,12,True,2
MOK004,3,4.0,5.0,True,True,node,MOK004,CH,STM,,2.0,12,True,2
C_GCC065,3,4.0,5.0,True,True,arc,Glenn Colusa Canal,CH,CL,4401.55433428559,1.0,12,True,2
D_CAA087_73_PA1,3,4.0,5.0,True,True,arc,,D,,23961.4157783646,2.0,12,True,2
D_WTPWDH_60S_NU1,3,4.0,5.0,True,True,arc,,D,,7610.64679999929,2.0,12,True,2
R_17S_NA_SSL001,3,4.0,5.0,True,True,arc,,RT,,12136.6131576226,1.0,12,True,2
C_EBP022,3,4.0,5.0,True,True,arc,Eastside Bypass,CH,BP,13529.9912180826,2.0,12,True,2
AMR006,3,4.0,5.0,True,True,node,AMR006,CH,SG,,1.0,12,True,2
D_MNRRH_13_NU2,3,4.0,5.0,True,True,arc,Bangor Canal,D,,18329.199792467,1.0,12,True,2
C_MCD054,3,4.0,5.0,True,True,arc,Merced River,CH,ST,4134.71871309814,2.0,12,True,2
SR_12_HON004,3,4.0,5.0,True,True,arc,,SR,,2500.00007079625,1.0,12,True,2
LBC032,3,4.0,5.0,True,True,node,LBC032,CH,CNL,,1.0,12,True,2
MFA001,3,4.0,5.0,True,True,node,MFA001,CH,SG,,1.0,12,True,2
C_CLRLK,3,4.0,5.0,True,True,arc,Cache Creek/Lower Lake,CH,ST,4976.08996319618,1.0,12,True,2
D_BRV002_TGR006,3,4.0,5.0,True,True,arc,,D,,304.096883512789,2.0,12,True,2
CHIPPS,3,4.0,5.0,True,True,node,CHIPPS,CH,,,1.0,12,True,2
WRT005,3,4.0,5.0,True,True,node,WRT005,CH,SG,,1.0,12,True,2
C_OMR039,3,4.0,5.0,True,True,arc,Old/Middle Rivers,CH,ST,17371.9915631465,1.0,12,True,2
COW003,3,4.0,5.0,True,True,node,COW003,CH,SG,,1.0,12,True,2
C_WWW001,3,4.0,5.0,True,True,arc,Westely Wasteway,CH,CL,5639.03322403149,2.0,12,True,2
