"scenario_id","02_PU","02_SU","03_PU1","03_PU2","03_SU","11_NU1","12_NU1","13_NU1","16_PU","20_NU1","21_PU","24_NU1","24_NU2","24_NU3","25_PU","26N_NU1","26N_NU2","26N_NU3","26N_PU1","26N_PU2","26N_PU3","26S_NU1","26S_PU1","26S_PU2","26S_PU4","26S_PU5","26S_PU6","50_PU","60N_NU2","60S_NU1","61_NU2","62_NU","72_PU","90_PU","ACFC","AMADR","AMCYN","ANTOC","BNCIA","CCWD","CSB038","CSB103","CSPSO","CSTIC","EBMUD","ELDID_NU1","ELDID_NU2","ELDID_NU3","ESB324","ESB347","ESB414","ESB420","FRFLD","GDPUD_NU","GRSVL","JLIND","KCWA","MHILL_NU","MWD","NAPA","NAPA2","PCWA3","PLMAS","SBA029","SBA036","SBCWD","SCVWD","SUISN","SVWRD","TLMNE","TVAFB","UNION","UPANG","VLLJO","WLDWD"
"s0011",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0020",1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0021",1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,4,1,1,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0023",1,2,2,2,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,1,1
"s0024",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,2,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,3,3,2,1,3,3,1,1,1,1,1,1
"s0025",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,1,1
"s0026",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0027",1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0028",1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,3,3,1,1,2,3,1,1,1,1,1,1
"s0030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,1,3,3,1,1,3,3,1,1,1,1,1,2
