id,calsim_id,name,description,reservoir_entity_id,variable_type,is_aggregate,aggregated_variable_ids,trigger_threshold,unit_id,temporal_scale_id,variable_version_id,variable_id,source_ids,created_by,updated_by
364,C_PARDE,Pardee Total Release,Total release from Pardee,57,release_total,false,,,2,3,1,69a18cc2-43a9-4ed8-ae82-570b73ae7294,"{1,3,4}",1,
365,C_PARDE_NCF,Pardee Normal Release,Normal controlled release from Pardee (≤ release capacity),57,release_normal,false,,,2,3,1,9f534aff-81dd-4db0-b262-c8fff7162f6c,"{1,3,4}",1,
366,C_PARDE_FLOOD,Pardee Flood Spill,Flood spill from Pardee (above release capacity),57,release_flood,false,,,2,3,1,e9d2bcba-8811-41da-9e4e-bcdae5082e96,"{1,3,4}",1,
367,C_PCRST,Pine Crest Total Release,Total release from Pine Crest,58,release_total,false,,,2,3,1,22fd6e98-b971-41b8-a771-bddffdffa89d,"{1,3,4}",1,
368,C_PCRST_NCF,Pine Crest Normal Release,Normal controlled release from Pine Crest (≤ release capacity),58,release_normal,false,,,2,3,1,ebdaa501-f369-446d-8f09-25af6000cf93,"{1,3,4}",1,
369,C_PCRST_FLOOD,Pine Crest Flood Spill,Flood spill from Pine Crest (above release capacity),58,release_flood,false,,,2,3,1,e5e54fde-771b-4e81-8a8e-132dea91377a,"{1,3,4}",1,
370,C_PEDRO,New Don Pedro Total Release,Total release from New Don Pedro,59,release_total,false,,,2,3,1,b284dd45-c103-4e32-8f67-8476d966a8a2,"{1,3,4}",1,
371,C_PEDRO_NCF,New Don Pedro Normal Release,Normal controlled release from New Don Pedro (≤ release capacity),59,release_normal,false,,,2,3,1,28e0f4fe-3a8b-4ab4-9f23-5f411516d8fa,"{1,3,4}",1,
372,C_PEDRO_FLOOD,New Don Pedro Flood Spill,Flood spill from New Don Pedro (above release capacity),59,release_flood,false,,,2,3,1,8f8fd9cc-5e12-43cd-b938-5503ae42aa61,"{1,3,4}",1,
373,C_RELIE,Relief Total Release,Total release from Relief,60,release_total,false,,,2,3,1,9a5c4c1d-3bef-4d1c-97e7-0d2db4270e9d,"{1,3,4}",1,
374,C_RELIE_NCF,Relief Normal Release,Normal controlled release from Relief (≤ release capacity),60,release_normal,false,,,2,3,1,31cadd3a-7a06-4bad-bbf3-801e0f43d4c2,"{1,3,4}",1,
375,C_RELIE_FLOOD,Relief Flood Spill,Flood spill from Relief (above release capacity),60,release_flood,false,,,2,3,1,ec9c25fb-d398-4c24-b16a-9722cd5c1bec,"{1,3,4}",1,
