id,calsim_id,name,description,variable_type_id,system_scope,calculation_method,hydrologic_region_id,spatial_description,unit_id,temporal_scale_id,variable_id,is_aggregate,component_variable_ids,aggregation_rule,is_regulatory,regulatory_authority,regulatory_threshold,outcome_category_short_code,source_ids,variable_version_id,created_at,updated_at,created_by,updated_by
1,NDO,net Delta outflow,Net outflow from the Sacramento-San Joaquin Delta,2,delta,complex_formula,3,,2,3,550e8a22-d433-4f17-8b2c-a3f4e9d7b123,false,{},sum,true,SWRCB,11400,,"{1,3}",1,2024-01-01 00:00:00,2024-01-01 00:00:00,1,1
2,X2,X2 salinity position,Position of the 2 psu salinity isohaline in the Delta,2,delta,spatial_interpolation,3,,5,3,7a1f2e34-b567-4890-9abc-def123456789,false,{},spatial_interpolation,true,SWRCB,81,,"{1,3}",1,2024-01-01 00:00:00,2024-01-01 00:00:00,1,1 
